Gear Type,Waypoint,Set Time,Pull time,Set Time,DO (mg/L),Temp ©,Turbidity (cm),Species,Length,Weight,Tag Number,Second Tag,Pannel Number,Bead Color,Mortality 0=Dead 1=Alive 
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Largemouth Bass,150,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Threadfin Shad,172,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Threadfin Shad,140,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,155,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,145,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Spotted Gar,395,,,,4,,1
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,155,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,172,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Shortnose Gar,693,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Shortnose Gar,540,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,161,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Threadfin Shad,165,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Threadfin Shad,152,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,164,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,325,,,,5,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,323,,,,5,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,341,,,,5,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,344,,,,5,,0
