"","ElevationBottom","Longitude","Latitude","optional"
"2994",-1.8,333672.875543874,3683611.95790565,TRUE
"2995",-1.9,333667.802384961,3683312.5598013,TRUE
"2996",-1.9,333669.330601758,3683393.93162521,TRUE
"2997",-2,333657.594494052,3682702.41911549,TRUE
"2998",-1.9,333668.057434531,3683308.24401316,TRUE
"2999",-1.9,333668.310773398,3683303.93712786,TRUE
"3000",-2.3,333662.0590961,3682936.38848207,TRUE
"3001",-1.7,333674.785131588,3683674.66663878,TRUE
"3002",-1.8,333668.40275276,3683299.51099228,TRUE
"3003",-1.9,333668.389686729,3683295.20755571,TRUE
"3004",-1.8,333668.370457021,3683290.48938729,TRUE
"3005",-1.9,333668.350239128,3683285.76790823,TRUE
"3006",-1.9,333668.329698877,3683281.02757848,TRUE
"3007",-1.9,333668.309860707,3683276.32827681,TRUE
"3008",-1.9,333668.289455395,3683271.54135881,TRUE
"3009",-2,333668.26886053,3683266.74335218,TRUE
"3010",-2,333668.25492465,3683262.3345576,TRUE
"3011",-2,333668.234747446,3683257.56094608,TRUE
"3012",-2,333668.215082614,3683252.81727399,TRUE
"3013",-1.8,333676.477149907,3683732.28236498,TRUE
"3014",-1.9,333668.202057764,3683248.46170506,TRUE
"3015",-1.7,333673.34543536,3683548.59508254,TRUE
"3016",-2.2,333662.995245127,3682940.67723425,TRUE
"3017",-1.9,333668.182922562,3683243.80343164,TRUE
"3018",-1.9,333668.167847277,3683239.3824556,TRUE
"3019",-1.8,333671.079618608,3683394.59938224,TRUE
"3020",-1.9,333668.497050972,3683234.60841289,TRUE
"3021",-2,333659.477987718,3682703.75119949,TRUE
"3022",-2.2,333663.712687817,3682944.54490809,TRUE
"3023",-2.1,333659.736197139,3682706.80814634,TRUE
"3024",-1.9,333668.893606617,3683230.28576774,TRUE
"3025",-2,333667.801546607,3683165.85382301,TRUE
"3026",-2.3,333664.459321205,3682949.13860217,TRUE
"3027",-1.7,333676.422267147,3683644.45864047,TRUE
"3028",-2.1,333668.335012687,3683161.41902633,TRUE
"3029",-1.9,333669.531723011,3683225.48758398,TRUE
"3030",-2,333668.867185741,3683170.14257895,TRUE
"3031",-2.2,333665.174658119,3682953.91806645,TRUE
"3032",-1.7,333676.094380925,3683589.84656419,TRUE
"3033",-2,333661.046011847,3682705.65103944,TRUE
"3034",-1.8,333678.175727316,3683704.84961876,TRUE
"3035",-1.7,333674.652188312,3683496.02479633,TRUE
"3036",-1.9,333673.00591248,3683395.11880257,TRUE
"3037",-2.1,333661.311054695,3682709.97900091,TRUE
"3038",-1.9,333670.089682547,3683221.17770634,TRUE
"3039",-2,333669.299373595,3683174.4377352,TRUE
"3040",-1.8,333676.845453805,3683613.16111418,TRUE
"3041",-2.2,333665.828422342,3682958.20277609,TRUE
"3042",-1.9,333670.363814691,3683216.56100195,TRUE
"3043",-2,333669.352307671,3683157.10905535,TRUE
"3044",-1.9,333669.747739017,3683179.24284235,TRUE
"3045",-2,333670.415749172,3683212.08120184,TRUE
"3046",-2,333670.461497618,3683207.2942618,TRUE
"3047",-2.3,333666.402158342,3682962.98355363,TRUE
"3048",-1.9,333670.500377126,3683202.16026266,TRUE
"3049",-2,333670.200110586,3683183.62860698,TRUE
