,X,DO,POINT_X,POINT_Y,Temp
445,2956,8.668381283,333640.6178,3682877.015,28.70240626
446,2957,8.643476992,333655.6178,3682877.015,28.66962864
447,2958,8.618776577,333670.6178,3682877.015,28.6335504
448,2959,8.598786629,333685.6178,3682877.015,28.59855775
449,2960,8.586943796,333700.6178,3682877.015,28.56826681
450,2961,8.585443438,333715.6178,3682877.015,28.5452577
451,2962,8.59536742,333730.6178,3682877.015,28.53111238
452,2963,8.616920057,333745.6178,3682877.015,28.52659304
453,2964,8.649627168,333760.6178,3682877.015,28.53182287
454,2965,8.692423473,333775.6178,3682877.015,28.54638854
455,2966,8.743610126,333790.6178,3682877.015,28.56933519
456,2967,8.800707722,333805.6178,3682877.015,28.5990633
457,2968,8.860277797,333820.6178,3682877.015,28.63317665
458,2969,8.917848056,333835.6178,3682877.015,28.66838191
459,2970,8.968133441,333850.6178,3682877.015,28.70059324
460,2971,9.005728237,333865.6178,3682877.015,28.7253988
461,2972,9.026264451,333880.6178,3682877.015,28.73892491
462,2973,9.027694845,333895.6178,3682877.015,28.73887414
463,2974,9.011089804,333910.6178,3682877.015,28.72527214
464,2975,8.980459107,333925.6178,3682877.015,28.70049896
465,2976,8.941646838,333940.6178,3682877.015,28.66856571
466,2977,8.900869329,333955.6178,3682877.015,28.63402602
467,2978,8.863539637,333970.6178,3682877.015,28.6010241
468,2979,8.833689067,333985.6178,3682877.015,28.57276191
469,2980,8.813919815,334000.6178,3682877.015,28.5513781
470,2981,8.805647938,334015.6178,3682877.015,28.53807613
471,2982,8.809411389,334030.6178,3682877.015,28.53333202
472,2983,8.82510638,334045.6178,3682877.015,28.53707224
473,2984,8.852093594,334060.6178,3682877.015,28.54877251
474,2985,8.889161437,334075.6178,3682877.015,28.56746812
475,2986,8.934359612,334090.6178,3682877.015,28.59169094
476,2987,8.984745885,334105.6178,3682877.015,28.61937305
477,2988,9.036143416,334120.6178,3682877.015,28.64779207
478,2989,9.083090522,334135.6178,3682877.015,28.67367809
479,2990,9.119240799,334150.6178,3682877.015,28.69362301
480,2991,9.138430371,334165.6178,3682877.015,28.70486302
