"","X","Z2","k","POINT_Z","Z","Z3","N","DawnDO_Mod","DawnDO_Mod2","combo","POINT_X","POINT_Y","optional"
"1165732",1165732,2,0.06,66.31,2.02,1,3111,4.682917,5.317083,"333209.6_3684869",-88.7912281951123,33.2900052459612,TRUE
"1165733",1165733,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333225.6_3684869",-88.7910564377917,33.2900077218832,TRUE
"1165734",1165734,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333193.6_3684867",-88.7913995838478,33.2899847387323,TRUE
"1165735",1165735,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333195.6_3684867",-88.7913781141909,33.2899850482649,TRUE
"1165736",1165736,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333197.6_3684867",-88.7913566445337,33.2899853577939,TRUE
"1165737",1165737,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333199.6_3684867",-88.7913351748762,33.2899856673192,TRUE
"1165738",1165738,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333201.6_3684867",-88.7913137052183,33.2899859768407,TRUE
"1165739",1165739,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333203.6_3684867",-88.7912922355601,33.2899862863585,TRUE
"1165740",1165740,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333205.6_3684867",-88.7912707659016,33.2899865958727,TRUE
"1165741",1165741,2,0.06,66.32,2.01,1,3111,4.682917,5.317083,"333207.6_3684867",-88.7912492962428,33.2899869053831,TRUE
"1165742",1165742,2,0.06,66.29,2.04,1,3111,4.682917,5.317083,"333209.6_3684867",-88.7912278265836,33.2899872148898,TRUE
"1165743",1165743,2,0.06,66.29,2.04,1,3111,4.682917,5.317083,"333243.6_3684867",-88.7908628423273,33.289992475937,TRUE
"1165744",1165744,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333193.6_3684865",-88.7913992152842,33.2899667076625,TRUE
"1165745",1165745,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333195.6_3684865",-88.7913777456317,33.289967017195,TRUE
"1165746",1165746,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333197.6_3684865",-88.7913562759789,33.2899673267237,TRUE
"1165747",1165747,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333199.6_3684865",-88.7913348063258,33.2899676362488,TRUE
"1165748",1165748,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333201.6_3684865",-88.7913133366723,33.2899679457701,TRUE
"1165749",1165749,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333203.6_3684865",-88.7912918670185,33.2899682552877,TRUE
"1165750",1165750,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333205.6_3684865",-88.7912703973644,33.2899685648016,TRUE
"1165751",1165751,2,0.06,66.31,2.02,1,3111,4.682917,5.317083,"333207.6_3684865",-88.79124892771,33.2899688743118,TRUE
"1165752",1165752,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333195.6_3684863",-88.7913773770728,33.2899489861249,TRUE
"1165753",1165753,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333197.6_3684863",-88.7913559074244,33.2899492956535,TRUE
"1165754",1165754,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333199.6_3684863",-88.7913344377757,33.2899496051783,TRUE
"1165755",1165755,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333201.6_3684863",-88.7913129681267,33.2899499146994,TRUE
"1165756",1165756,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333203.6_3684863",-88.7912914984773,33.2899502242168,TRUE
"1165757",1165757,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333205.6_3684863",-88.7912700288276,33.2899505337305,TRUE
"1165758",1165758,2,0.06,66.31,2.02,1,3111,4.682917,5.317083,"333207.6_3684863",-88.7912485591775,33.2899508432405,TRUE
"1165759",1165759,2,0.06,66.31,2.02,1,3111,4.682917,5.317083,"333233.6_3684863",-88.7909694536973,33.2899548665334,TRUE
"1165760",1165760,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333193.6_3684861",-88.7913984781579,33.2899306455228,TRUE
"1165761",1165761,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333195.6_3684861",-88.7913770085142,33.2899309550549,TRUE
"1165762",1165762,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333197.6_3684861",-88.7913555388702,33.2899312645832,TRUE
"1165763",1165763,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333199.6_3684861",-88.791334069226,33.2899315741078,TRUE
