OBJECTID,Join_Count,TARGET_FID,DO,POINT_X,POINT_Y,Temp,Elevation
927,1,927,8.739379045,334345.6178,3682967.015,28.53033575,66.7720642
929,1,929,8.749428365,334375.6178,3682967.015,28.53534833,67.1539993
931,1,931,8.778202308,334405.6178,3682967.015,28.546175,67.1065521
933,1,933,8.808721755,334435.6178,3682967.015,28.55911397,66.8121872
935,1,935,8.81612587,334465.6178,3682967.015,28.55998468,66.942131
937,1,937,8.791070381,334495.6178,3682967.015,28.53842507,66.2845078
939,1,939,8.744891368,334525.6178,3682967.015,28.49918773,66.7842941
1024,1,1024,8.026409387,333265.6178,3682997.015,28.09322789,67.6566391
1026,1,1026,8.048302594,333295.6178,3682997.015,28.12665884,67.3548584
1028,1,1028,8.069610556,333325.6178,3682997.015,28.16084304,67.2610245
1030,1,1030,8.092798295,333355.6178,3682997.015,28.19694486,67.4466095
1032,1,1032,8.120423459,333385.6178,3682997.015,28.23605032,67.3399506
1034,1,1034,8.155012096,333415.6178,3682997.015,28.27917229,67.2776947
1036,1,1036,8.198957201,333445.6178,3682997.015,28.3272781,67.3031845
1038,1,1038,8.254159202,333475.6178,3682997.015,28.38112103,67.1563416
1040,1,1040,8.320775046,333505.6178,3682997.015,28.44039594,67.1539993
1042,1,1042,8.394225429,333535.6178,3682997.015,28.50152072,67.1765671
1044,1,1044,8.461125909,333565.6178,3682997.015,28.55428725,67.1589661
1046,1,1046,8.500711373,333595.6178,3682997.015,28.58198008,67.1094818
1048,1,1048,8.500869404,333625.6178,3682997.015,28.57259341,67.2382431
1050,1,1050,8.475364076,333655.6178,3682997.015,28.5332794,67.1551285
1052,1,1052,8.453863155,333685.6178,3682997.015,28.48592355,67.1211166
1054,1,1054,8.458542457,333715.6178,3682997.015,28.45035292,67.1174545
1056,1,1056,8.496454641,333745.6178,3682997.015,28.43702935,66.9896011
1058,1,1058,8.56408543,333775.6178,3682997.015,28.44879906,67.0331421
1060,1,1060,8.651298023,333805.6178,3682997.015,28.48266809,66.8662643
1062,1,1062,8.741053393,333835.6178,3682997.015,28.5283633,66.9889297
1064,1,1064,8.808914559,333865.6178,3682997.015,28.56649544,67.0367279
1066,1,1066,8.832456928,333895.6178,3682997.015,28.5754842,66.7138901
1068,1,1068,8.810622734,333925.6178,3682997.015,28.54948557,66.9372864
1070,1,1070,8.766913354,333955.6178,3682997.015,28.50466081,66.9256744
1072,1,1072,8.72911209,333985.6178,3682997.015,28.46324006,67.1439972
1074,1,1074,8.714354235,334015.6178,3682997.015,28.43954293,67.101326
1076,1,1076,8.729004051,334045.6178,3682997.015,28.43888391,67.1327286
1078,1,1078,8.771987076,334075.6178,3682997.015,28.46047113,67.0826263
1080,1,1080,8.834720176,334105.6178,3682997.015,28.49804954,67.0523987
1082,1,1082,8.897942288,334135.6178,3682997.015,28.53829335,67.0740585
1084,1,1084,8.933225454,334165.6178,3682997.015,28.5623939,67.1522293
1086,1,1086,8.920530877,334195.6178,3682997.015,28.55803533,67.0358963
1088,1,1088,8.868265467,334225.6178,3682997.015,28.53176636,66.8711472
1090,1,1090,8.804134608,334255.6178,3682997.015,28.50135372,66.8508911
1092,1,1092,8.750789594,334285.6178,3682997.015,28.47932976,67.1650314
1094,1,1094,8.717504768,334315.6178,3682997.015,28.46857983,67.1626434
1096,1,1096,8.704992519,334345.6178,3682997.015,28.46715103,67.1293182
1098,1,1098,8.710414608,334375.6178,3682997.015,28.47293423,67.0584488
1100,1,1100,8.727692422,334405.6178,3682997.015,28.48381683,67.1012878
1102,1,1102,8.744998349,334435.6178,3682997.015,28.49370148,66.8497772
1104,1,1104,8.747703372,334465.6178,3682997.015,28.49210638,66.7656326
1106,1,1106,8.729203837,334495.6178,3682997.015,28.47297609,66.1330566
1108,1,1108,8.694512753,334525.6178,3682997.015,28.4400873,65.3595886
1198,1,1198,8.029519772,333235.6178,3683027.015,28.07359446,67.652771
1200,1,1200,8.048554492,333265.6178,3683027.015,28.10488187,67.4855118
1202,1,1202,8.062411361,333295.6178,3683027.015,28.13474639,67.4000778
1204,1,1204,8.073712862,333325.6178,3683027.015,28.16457496,67.2387543
1206,1,1206,8.085334837,333355.6178,3683027.015,28.19559802,67.4540024
1208,1,1208,8.099955706,333385.6178,3683027.015,28.22866785,67.2937851
1210,1,1210,8.119765796,333415.6178,3683027.015,28.26418858,67.3254318
1212,1,1212,8.146345491,333445.6178,3683027.015,28.30216011,67.3655853
1214,1,1214,8.180515192,333475.6178,3683027.015,28.34216692,67.2552185
1216,1,1216,8.221775855,333505.6178,3683027.015,28.38303198,67.1095734
1218,1,1218,8.26699003,333535.6178,3683027.015,28.42188504,67.1882248
1220,1,1220,8.308930168,333565.6178,3683027.015,28.45303326,67.2050858
1222,1,1222,8.337895175,333595.6178,3683027.015,28.46875193,67.2984848
1224,1,1224,8.349475325,333625.6178,3683027.015,28.46436341,67.1509171
1226,1,1226,8.351554435,333655.6178,3683027.015,28.4437339,67.1467896
1228,1,1228,8.359387545,333685.6178,3683027.015,28.41750747,67.1748734
1230,1,1230,8.384692732,333715.6178,3683027.015,28.39647299,67.1611938
1232,1,1232,8.430821087,333745.6178,3683027.015,28.38756065,67.0909805
1234,1,1234,8.493887848,333775.6178,3683027.015,28.39317315,67.0671616
1236,1,1236,8.565079643,333805.6178,3683027.015,28.41128952,66.9422531
1238,1,1238,8.63230743,333835.6178,3683027.015,28.43529514,66.9661713
1240,1,1240,8.682264081,333865.6178,3683027.015,28.45462,66.8035355
1242,1,1242,8.705372069,333895.6178,3683027.015,28.45898186,66.782135
1244,1,1244,8.702398398,333925.6178,3683027.015,28.44573927,66.7513733
1246,1,1246,8.684892318,333955.6178,3683027.015,28.42219932,66.9032822
1248,1,1248,8.667664786,333985.6178,3683027.015,28.39951665,67.0567017
1250,1,1250,8.661867669,334015.6178,3683027.015,28.38626564,67.0524597
1252,1,1252,8.672780106,334045.6178,3683027.015,28.3864411,67.083374
1254,1,1254,8.699869803,334075.6178,3683027.015,28.3997303,67.0495529
1256,1,1256,8.736942233,334105.6178,3683027.015,28.42184229,67.1634903
1258,1,1258,8.772385564,334135.6178,3683027.015,28.44478093,67.1527863
1260,1,1260,8.792011691,334165.6178,3683027.015,28.45887735,67.1486893
1262,1,1262,8.78696363,334195.6178,3683027.015,28.45824466,67.1037674
1264,1,1264,8.760769024,334225.6178,3683027.015,28.44535313,66.8940735
1266,1,1266,8.725857303,334255.6178,3683027.015,28.42813099,67.0972443
1268,1,1268,8.694241495,334285.6178,3683027.015,28.41339036,67.1663055
1270,1,1270,8.672766465,334315.6178,3683027.015,28.40406973,67.1878052
1272,1,1272,8.663428808,334345.6178,3683027.015,28.40038259,67.1360474
1274,1,1274,8.664804492,334375.6178,3683027.015,28.40148339,67.2624435
1276,1,1276,8.67255636,334405.6178,3683027.015,28.40548849,67.2639999
1278,1,1278,8.67960764,334435.6178,3683027.015,28.40822575,67.206131
1280,1,1280,8.678320874,334465.6178,3683027.015,28.40393644,66.7993698
1282,1,1282,8.664760097,334495.6178,3683027.015,28.38940423,66.0741806
1284,1,1284,8.640285758,334525.6178,3683027.015,28.36630215,65.3639908
1381,1,1381,8.071042108,333235.6178,3683057.015,28.09421842,67.6416245
1383,1,1383,8.083604962,333265.6178,3683057.015,28.12242421,67.8148651
1385,1,1385,8.087612414,333295.6178,3683057.015,28.14792462,67.3330154
1387,1,1387,8.086545167,333325.6178,3683057.015,28.17263586,67.3046722
1389,1,1389,8.084177444,333355.6178,3683057.015,28.19816025,67.3940506
1391,1,1391,8.083698627,333385.6178,3683057.015,28.22533767,67.2959671
1393,1,1393,8.087172552,333415.6178,3683057.015,28.25409644,67.3666077
1395,1,1395,8.095440354,333445.6178,3683057.015,28.2835935,67.1956024
1397,1,1397,8.108308381,333475.6178,3683057.015,28.31247706,67.2581558
1399,1,1399,8.124800911,333505.6178,3683057.015,28.33907104,67.0496979
1401,1,1401,8.143409383,333535.6178,3683057.015,28.36139159,67.0906219
1403,1,1403,8.162518994,333565.6178,3683057.015,28.37716683,66.9965363
1405,1,1405,8.181319505,333595.6178,3683057.015,28.38430299,67.1502533
1407,1,1407,8.201078638,333625.6178,3683057.015,28.3820325,67.0951767
1409,1,1409,8.225580691,333655.6178,3683057.015,28.37203601,67.1475449
1411,1,1411,8.25957353,333685.6178,3683057.015,28.35836483,67.1884003
1413,1,1413,8.306140179,333715.6178,3683057.015,28.34604265,67.2558975
1415,1,1415,8.364825702,333745.6178,3683057.015,28.33922687,67.1539993
1417,1,1417,8.431221911,333775.6178,3683057.015,28.33974654,67.0776138
1419,1,1419,8.497859465,333805.6178,3683057.015,28.34648818,66.9298477
1421,1,1421,8.556106059,333835.6178,3683057.015,28.35582496,66.9435272
1423,1,1423,8.598675188,333865.6178,3683057.015,28.36302936,66.8525162
1425,1,1425,8.62209278,333895.6178,3683057.015,28.36433128,66.8493881
1427,1,1427,8.628118382,333925.6178,3683057.015,28.35878874,66.7933121
1429,1,1429,8.623151419,333955.6178,3683057.015,28.34875848,66.831955
1431,1,1431,8.61570321,333985.6178,3683057.015,28.3385973,67.1539993
1433,1,1433,8.613252279,334015.6178,3683057.015,28.33259104,67.0581436
1435,1,1435,8.619858828,334045.6178,3683057.015,28.33323791,67.0872955
1437,1,1437,8.635199105,334075.6178,3683057.015,28.3404094,67.1277237
1439,1,1439,8.655074622,334105.6178,3683057.015,28.35150275,67.1554718
1441,1,1441,8.673132744,334135.6178,3683057.015,28.36247056,67.1296692
